診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
24. 脳神経外科,39 ,32 ,51 ,37 ,51 ,32 ,46 ,34 ,38 ,31 ,41 ,38 ,32 ,46 ,53 ,64 ,47 ,27 ,34 ,35 ,52 ,47 ,35 ,47 ,43 ,38 ,32 ,27 ,38 ,47 ,29 ,43 ,47 ,40 ,38 ,39 ,35 ,42 ,56 ,31 ,40 ,43 ,44 ,45 ,33 ,38 ,51 ,58 
25. 整形外科,115 ,94 ,139 ,91 ,129 ,106 ,88 ,96 ,142 ,98 ,141 ,150 ,118 ,130 ,161 ,168 ,156 ,75 ,111 ,127 ,125 ,128 ,102 ,127 ,112 ,100 ,101 ,105 ,102 ,133 ,92 ,130 ,132 ,151 ,112 ,152 ,131 ,118 ,149 ,105 ,135 ,127 ,130 ,152 ,104 ,125 ,118 ,155 
26. 形成外科,14 ,9 ,15 ,9 ,21 ,12 ,12 ,6 ,9 ,14 ,17 ,8 ,6 ,9 ,16 ,19 ,11 ,9 ,4 ,11 ,7 ,8 ,10 ,9 ,6 ,8 ,15 ,7 ,13 ,21 ,12 ,17 ,14 ,22 ,20 ,7 ,13 ,23 ,22 ,12 ,10 ,10 ,9 ,16 ,12 ,15 ,13 ,7 
27. 美容外科,3 ,2 ,2 ,1 ,3 ,3 ,1 ,1 ,2 ,4 ,2 ,2 ,1 ,2 ,3 ,1 ,2 ,2 ,1 ,0 ,1 ,2 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,3 ,2 ,3 ,2 ,1 ,1 ,1 ,1 ,12 ,2 ,2 ,2 ,2 ,1 ,5 ,1 ,2 ,2 ,1 
28. 眼科,72 ,72 ,79 ,56 ,77 ,58 ,57 ,68 ,73 ,64 ,90 ,72 ,60 ,73 ,81 ,76 ,67 ,55 ,64 ,63 ,66 ,73 ,64 ,64 ,58 ,54 ,65 ,46 ,59 ,73 ,58 ,89 ,61 ,74 ,60 ,78 ,68 ,102 ,84 ,56 ,75 ,73 ,69 ,77 ,56 ,83 ,62 ,77 
29. 耳鼻いんこう科,51 ,52 ,61 ,34 ,60 ,44 ,34 ,51 ,43 ,47 ,72 ,46 ,39 ,53 ,66 ,56 ,52 ,36 ,45 ,51 ,55 ,52 ,50 ,43 ,44 ,41 ,46 ,41 ,44 ,56 ,38 ,61 ,40 ,54 ,40 ,57 ,46 ,69 ,65 ,47 ,56 ,53 ,68 ,51 ,45 ,52 ,47 ,56 
30. 小児外科,4 ,3 ,3 ,5 ,5 ,4 ,2 ,2 ,1 ,6 ,7 ,7 ,3 ,4 ,5 ,3 ,4 ,4 ,3 ,3 ,3 ,5 ,4 ,7 ,4 ,5 ,3 ,2 ,3 ,7 ,4 ,5 ,4 ,2 ,3 ,3 ,5 ,6 ,2 ,5 ,4 ,2 ,1 ,7 ,3 ,4 ,2 ,2 
31. 産婦人科,58 ,59 ,60 ,50 ,62 ,72 ,52 ,54 ,65 ,56 ,66 ,55 ,55 ,57 ,64 ,49 ,56 ,41 ,58 ,59 ,56 ,60 ,51 ,57 ,60 ,45 ,53 ,46 ,52 ,67 ,47 ,65 ,50 ,72 ,56 ,74 ,67 ,79 ,74 ,61 ,52 ,63 ,68 ,60 ,45 ,58 ,48 ,70 
32. 産科,3 ,2 ,1 ,2 ,4 ,4 ,1 ,5 ,1 ,4 ,3 ,1 ,2 ,3 ,0 ,2 ,3 ,2 ,2 ,1 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,2 ,1 ,2 ,3 ,6 ,0 ,2 ,1 ,0 ,3 ,0 ,3 ,1 ,1 ,1 ,3 ,1 ,2 ,3 ,1 
33. 婦人科,10 ,7 ,9 ,7 ,10 ,7 ,7 ,6 ,8 ,10 ,11 ,10 ,9 ,6 ,6 ,12 ,5 ,8 ,7 ,6 ,6 ,13 ,8 ,8 ,8 ,9 ,10 ,8 ,9 ,5 ,9 ,14 ,11 ,11 ,7 ,6 ,7 ,18 ,9 ,6 ,10 ,6 ,5 ,10 ,11 ,10 ,10 ,9 
34. リハビリテーション科,13 ,11 ,15 ,6 ,20 ,16 ,9 ,7 ,9 ,16 ,13 ,15 ,11 ,11 ,11 ,16 ,10 ,8 ,8 ,8 ,13 ,18 ,13 ,23 ,17 ,10 ,11 ,5 ,13 ,16 ,11 ,16 ,12 ,13 ,12 ,21 ,26 ,16 ,17 ,11 ,15 ,13 ,16 ,17 ,6 ,13 ,12 ,18 
35. 放射線科,34 ,27 ,56 ,17 ,51 ,31 ,22 ,21 ,48 ,31 ,57 ,46 ,33 ,35 ,44 ,48 ,42 ,16 ,32 ,33 ,43 ,32 ,40 ,39 ,21 ,27 ,28 ,20 ,23 ,52 ,21 ,44 ,43 ,46 ,25 ,46 ,45 ,45 ,56 ,27 ,46 ,37 ,52 ,49 ,22 ,35 ,25 ,37 
36. 麻酔科,48 ,37 ,48 ,32 ,64 ,54 ,32 ,28 ,51 ,46 ,60 ,56 ,52 ,50 ,57 ,61 ,54 ,32 ,26 ,36 ,48 ,45 ,45 ,56 ,34 ,31 ,45 ,37 ,36 ,53 ,34 ,55 ,54 ,54 ,47 ,57 ,68 ,64 ,53 ,49 ,44 ,53 ,42 ,58 ,34 ,49 ,65 ,46 
37. 病理診断科,10 ,9 ,10 ,7 ,13 ,11 ,7 ,9 ,8 ,9 ,13 ,7 ,10 ,6 ,14 ,10 ,8 ,6 ,7 ,10 ,5 ,10 ,12 ,9 ,10 ,8 ,9 ,7 ,10 ,12 ,8 ,10 ,9 ,10 ,10 ,11 ,12 ,15 ,7 ,8 ,10 ,14 ,8 ,11 ,8 ,9 ,10 ,7 
38. 臨床検査科,3 ,2 ,3 ,1 ,5 ,3 ,4 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,4 ,3 ,2 ,2 ,1 ,1 ,3 ,3 ,2 ,2 ,6 ,3 ,2 ,4 ,2 ,3 ,2 ,3 ,4 ,7 ,4 ,2 ,3 ,5 ,2 ,6 ,3 ,5 ,2 ,3 ,2 ,2 ,2 ,3 
39. 救急科,16 ,11 ,8 ,10 ,21 ,31 ,11 ,13 ,13 ,13 ,20 ,18 ,14 ,13 ,11 ,25 ,21 ,11 ,8 ,11 ,12 ,13 ,17 ,12 ,7 ,10 ,20 ,16 ,10 ,15 ,18 ,22 ,14 ,14 ,22 ,10 ,18 ,23 ,13 ,16 ,21 ,12 ,35 ,19 ,9 ,15 ,12 ,22 
40. 臨床研修医,88 ,88 ,78 ,68 ,111 ,140 ,73 ,80 ,58 ,73 ,122 ,76 ,60 ,75 ,85 ,96 ,92 ,52 ,76 ,84 ,77 ,83 ,93 ,66 ,92 ,54 ,88 ,79 ,77 ,107 ,72 ,95 ,77 ,88 ,82 ,80 ,102 ,129 ,87 ,92 ,88 ,83 ,101 ,105 ,65 ,88 ,78 ,122 
41. 全科,1 ,1 ,1 ,3 ,1 ,5 ,0 ,2 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,1 ,0 ,1 ,1 ,2 ,2 ,1 ,2 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,1 ,3 ,1 ,3 ,3 ,2 ,1 ,4 ,1 ,2 ,1 ,3 ,1 
42. その他,22 ,17 ,17 ,19 ,28 ,26 ,14 ,14 ,14 ,27 ,29 ,23 ,14 ,18 ,20 ,24 ,24 ,12 ,19 ,10 ,14 ,17 ,20 ,20 ,14 ,10 ,19 ,17 ,26 ,40 ,24 ,22 ,14 ,18 ,22 ,27 ,33 ,40 ,19 ,24 ,14 ,27 ,11 ,27 ,13 ,16 ,21 ,16 
43. 不詳,10 ,5 ,10 ,4 ,17 ,12 ,3 ,6 ,5 ,5 ,18 ,3 ,20 ,17 ,7 ,7 ,5 ,12 ,8 ,7 ,6 ,2 ,8 ,7 ,7 ,3 ,11 ,7 ,10 ,16 ,5 ,15 ,13 ,8 ,11 ,14 ,3 ,20 ,4 ,5 ,9 ,11 ,3 ,8 ,3 ,11 ,6 ,11 
