診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
25. 整形外科,12439,605,143,250,195,124,110,213,110,205,316,184,190,307,116,66,75,563,190,112,147,90,142,174,80,159,799,110,299,101,473,1172,98,186,184,74,63,1499,117,195,166,94,85,574,193,629,345,117
26. 形成外科,2167,134,11,35,23,18,16,18,13,27,39,46,23,48,13,9,15,83,10,5,18,14,14,14,9,11,154,6,42,23,79,196,19,22,29,8,8,517,14,20,21,8,13,126,19,119,45,13
27. 美容外科,1404,86,6,13,14,18,3,8,6,17,27,12,15,21,9,2,5,45,6,2,7,5,9,7,6,10,84,6,23,18,36,140,10,14,17,2,1,463,7,12,12,7,3,74,8,67,34,7
28. 眼科,8244,502,82,136,124,84,60,130,60,128,190,99,109,192,62,34,46,429,110,56,80,53,80,82,52,116,609,58,205,66,369,731,65,93,97,31,50,1252,43,85,93,61,44,344,94,447,240,71
29. 耳鼻いんこう科,5783,359,68,101,99,55,35,92,40,79,157,72,70,131,53,29,35,274,74,38,67,37,59,73,35,83,427,38,144,41,200,528,44,74,66,20,26,885,42,76,66,38,34,229,63,288,189,50
30. 小児外科,372,29,3,7,4,5,2,13,4,5,3,6,6,9,1,0,3,20,6,1,4,3,2,7,3,1,17,2,9,4,27,18,3,8,7,5,2,49,3,9,8,4,5,21,5,10,6,3
31. 産婦人科,2826,148,32,42,38,30,24,45,28,55,60,44,44,68,16,12,21,111,40,19,32,20,27,39,24,48,213,30,86,29,104,230,28,40,43,14,14,411,19,43,22,21,15,123,34,132,75,33
32. 産科,317,34,1,1,4,0,2,8,5,8,3,4,5,5,6,0,1,13,2,0,2,1,9,5,2,8,24,2,8,3,13,20,2,4,3,0,2,35,1,4,6,1,2,19,6,16,11,6
33. 婦人科,1839,102,10,31,22,17,15,26,14,27,30,15,27,22,14,4,14,73,17,14,9,10,21,15,11,38,136,8,45,13,77,173,14,15,19,8,13,390,16,27,33,5,12,72,31,71,49,14
34. リハビリテーション科,11458,703,157,161,236,91,89,258,136,141,268,221,125,336,154,77,112,415,234,76,202,66,129,215,47,125,564,72,285,77,335,1307,129,230,126,63,54,933,138,124,179,64,67,694,157,666,272,148
35. 放射線科,3031,77,47,53,101,14,7,61,45,13,103,77,27,143,42,26,25,87,25,4,67,16,30,72,12,39,100,31,54,15,55,416,24,50,31,7,20,282,39,42,89,11,11,128,24,193,45,151
36. 麻酔科,1943,83,31,28,32,10,12,31,19,33,45,60,30,45,27,11,17,77,11,6,40,12,22,39,11,14,94,8,46,10,60,183,37,17,38,17,15,187,25,55,21,10,10,136,25,112,71,20
37. 病理診断科,70,3,0,0,0,2,0,1,0,0,4,1,1,3,0,0,0,2,1,0,1,1,3,0,0,0,1,0,2,2,2,6,0,2,1,0,0,15,2,1,3,1,0,2,2,3,2,0
38. 臨床検査科,73,4,0,1,0,0,2,2,0,8,0,2,1,2,1,1,1,8,0,0,1,0,1,0,1,0,2,1,1,0,3,7,1,2,0,0,0,12,0,0,1,0,0,2,0,4,0,1
39. 救急科,73,4,1,2,2,3,0,1,2,1,1,0,0,0,0,0,3,4,1,0,2,0,1,4,0,0,8,0,3,0,3,3,2,0,0,0,1,7,1,3,0,0,0,2,2,4,2,0
40. 臨床研修医,1725,120,14,33,29,10,23,70,8,26,25,23,23,34,7,12,11,50,19,14,21,10,10,25,9,54,120,17,33,11,56,81,14,35,24,7,6,312,13,25,16,8,9,47,45,60,94,12
41. 全科,157,8,3,3,2,1,2,3,0,2,2,1,0,3,0,1,1,6,1,1,1,0,0,1,2,1,15,0,2,1,14,9,1,2,3,0,0,45,0,1,1,0,0,6,3,3,4,2
42. その他,228,19,2,5,3,1,4,9,1,1,2,3,6,2,2,1,3,11,0,2,2,0,1,2,3,1,17,0,4,2,12,5,0,3,2,0,0,62,1,3,2,1,1,11,5,4,4,3
43. 不詳,226,9,2,2,2,1,2,7,0,1,5,1,3,2,1,2,5,12,3,1,3,0,0,3,2,1,22,1,1,1,14,12,2,3,2,1,0,54,2,7,2,1,1,8,8,5,4,5
