診療科,全国合計,愛知県,愛媛県,茨城県,岡山県,沖縄県,岩手県,岐阜県,宮崎県,宮城県,京都府,熊本県,群馬県,広島県,香川県,高知県,佐賀県,埼玉県,三重県,山形県,山口県,山梨県,滋賀県,鹿児島県,秋田県,新潟県,神奈川県,青森県,静岡県,石川県,千葉県,大阪府,大分県,長崎県,長野県,鳥取県,島根県,東京都,徳島県,栃木県,奈良県,富山県,福井県,福岡県,福島県,兵庫県,北海道,和歌山県
19. 乳腺外科,1039,42,12,29,19,12,9,17,7,15,25,19,20,26,11,8,8,57,12,9,16,7,14,8,7,14,71,6,23,6,55,78,13,12,21,5,6,111,10,14,9,7,4,45,13,53,41,13
20. 気管食道外科,84,0,2,2,3,7,2,1,1,3,2,0,0,3,1,1,1,4,1,1,1,1,0,1,2,0,2,0,2,1,5,3,1,4,2,0,0,10,1,2,0,0,0,4,3,2,2,0
21. 消化器外科（胃腸外科）,1806,67,25,58,45,20,9,25,30,17,35,30,35,43,21,28,23,86,21,7,25,12,14,37,7,22,109,12,34,20,92,135,39,25,35,11,4,164,10,24,17,9,19,92,21,105,68,19
22. 泌尿器科,2867,108,44,80,59,33,34,43,27,43,84,43,49,72,42,35,17,130,37,24,44,21,34,47,30,51,149,28,64,34,137,201,37,41,61,14,21,257,26,46,35,27,31,102,50,120,123,32
23. 肛門外科,1178,47,10,33,28,13,5,23,18,9,38,21,26,44,14,23,13,66,15,3,20,6,9,25,4,13,48,9,17,13,46,69,37,19,24,3,5,75,17,17,12,4,18,66,26,62,49,16
24. 脳神経外科,2619,118,44,66,54,29,28,44,20,32,69,39,38,59,34,37,27,124,35,27,48,27,29,46,21,43,148,23,65,28,121,178,36,38,44,13,15,215,32,29,35,27,27,101,36,126,104,40
25. 整形外科,4909,198,82,112,97,54,57,68,69,69,124,98,86,132,63,74,55,202,62,41,79,44,44,96,34,78,213,57,104,54,193,358,75,80,80,31,34,385,68,71,59,46,44,218,78,244,243,56
26. 形成外科,1430,58,16,41,31,15,9,15,6,24,33,17,14,26,20,18,11,91,12,14,11,7,16,14,7,19,99,13,39,14,82,113,17,21,41,5,7,130,14,22,15,13,12,66,29,73,51,9
27. 美容外科,123,5,1,5,7,1,1,1,1,1,2,0,1,3,0,2,0,10,1,0,1,0,1,0,0,1,17,0,1,3,6,8,0,0,3,1,0,17,1,3,1,1,1,4,6,5,0,0
28. 眼科,2379,109,34,59,60,25,33,35,19,39,64,32,40,61,28,30,18,91,34,25,36,23,28,40,27,52,122,29,58,32,96,143,19,28,53,16,21,194,20,30,28,29,29,86,45,112,121,26
29. 耳鼻いんこう科,1967,86,27,42,43,25,25,36,21,37,50,29,23,55,22,19,19,77,28,22,32,21,25,33,27,42,99,25,44,24,95,120,20,25,45,16,22,159,16,25,22,29,22,66,38,81,92,16
30. 小児外科,398,27,7,9,5,6,3,5,3,9,11,14,6,9,6,3,2,21,3,4,7,3,4,12,5,7,18,2,7,6,22,23,7,5,11,2,3,27,2,4,4,3,5,17,9,13,13,4
31. 産婦人科,1094,51,17,25,21,12,18,23,9,19,25,17,15,30,14,7,6,34,17,16,20,7,14,12,16,30,56,15,30,20,38,59,10,14,28,9,16,89,11,10,13,13,12,27,24,51,62,12
32. 産科,197,5,0,3,4,7,0,3,4,5,5,3,3,4,3,3,1,7,3,2,2,1,2,8,2,3,13,2,4,3,8,14,2,2,7,0,1,21,0,2,1,2,0,14,2,5,11,0
33. 婦人科,871,29,11,23,20,11,7,14,8,13,27,10,15,21,10,8,4,40,15,14,8,12,8,26,4,15,58,9,19,11,42,55,9,9,27,5,6,88,5,11,8,13,6,36,13,33,31,4
34. リハビリテーション科,5702,234,104,105,112,66,54,74,93,66,123,136,91,172,74,96,78,211,54,38,94,44,46,154,38,84,225,56,121,61,204,407,103,115,88,33,30,426,76,65,62,68,47,336,77,274,322,65
35. 放射線科,3362,126,67,66,81,32,19,47,63,38,95,82,48,102,42,58,30,113,36,23,65,23,32,81,21,40,145,30,57,37,105,323,47,70,53,16,20,228,45,48,46,31,29,160,46,205,143,48
36. 麻酔科,2769,113,40,61,63,25,29,40,34,44,69,60,52,70,29,29,25,113,31,20,39,16,30,67,20,41,140,29,55,26,106,200,47,30,51,16,20,234,20,38,33,20,21,126,45,137,181,34
37. 病理診断科,930,50,10,19,13,16,5,17,9,17,16,13,18,19,10,6,7,35,11,6,11,6,13,12,8,14,57,8,24,10,44,72,12,10,19,6,7,92,5,14,11,12,5,46,16,43,48,8
38. 臨床検査科,241,13,2,4,5,3,2,7,4,3,6,1,5,2,4,0,0,7,2,0,6,2,1,0,1,3,16,2,11,1,9,22,3,5,8,2,1,36,3,4,3,1,0,17,0,7,4,3
39. 救急科,812,38,6,22,15,17,3,11,9,12,17,9,17,13,5,6,9,29,7,7,9,6,11,16,5,9,52,4,22,5,40,68,12,11,21,4,4,92,7,12,11,7,4,51,9,37,22,9
40. 臨床研修医,1267,50,16,30,43,23,19,19,9,24,31,24,25,47,16,5,10,48,15,10,28,7,12,21,11,49,51,14,21,13,49,90,11,20,25,6,5,107,12,17,9,6,8,62,30,48,67,4
41. 全科,146,3,2,2,4,2,3,5,2,5,5,1,2,2,1,0,0,8,1,0,2,0,2,2,2,5,6,0,2,1,4,9,2,2,4,0,0,16,1,3,1,0,1,8,6,5,12,2
42. その他,148,6,0,6,3,3,4,5,1,3,4,3,0,2,2,0,1,6,2,0,3,0,1,3,0,9,5,0,0,1,7,10,0,1,4,0,0,13,1,2,2,0,1,12,5,5,10,2
43. 不詳,1009,51,13,28,9,16,9,21,8,17,20,17,22,23,10,5,7,39,13,12,15,8,16,16,12,37,54,12,28,10,36,66,10,8,32,6,12,78,4,14,11,13,9,37,18,45,54,8
